agree,同意
alcohol,酒精
arrive,到达
August,八月
boat,船
breakfast,早餐
camera,照相机
capital,首都
catch,抓住
duck,鸭子
enjoy,喜欢，欣赏
invite,邀请
love,爱，热爱
month,月份
travel,旅游
typical,典型的
visit,拜访
weather,天气
week,周
wine,葡萄酒
adventure,冒险，奇遇
approach,靠近
carefully,小心地
chemical,化学品
create,创造
evil,邪恶的
experiment,实验
kill,杀害
laboratory,实验室
laugh,大笑
loud,大声的
nervous,紧张的
noise,噪声
project,项目
scare,使惊吓
secret,秘密
shout,大叫
smell,闻
terrible,可怕的
worse,更坏，更差的
alien,外星人
among,在…之中
chart,图表
cloud,云
describe,描述
ever,曾经，在任何时候
fail,失败
grade,分数
instead,而不是
library,图书馆
photograph,图片
planet,行星
report,报告
several,几个
shape,图案
solve,解决
suddenly,突然地
suppose,猜想
universe,宇宙
view,看
appropriate,恰当的
avoid,避免
behave,行为举止
calm,平静的
concern,担忧
content,满足的
expect,预计
frequently,频繁地
habit,习惯
instruct,教导
issue,议题
none,没有一个
patient,耐心的
positive,积极的，正面的
punish,惩罚
represent,代表
shake,摇动，晃动
spread,散播
stroll,漫步
village,村庄
active,活跃的
adult,成人
age,年龄
bad,坏的
balance,平衡
bike,自行车
choose,选择
doctor,医生
during,在…期间
football,足球
fun,好玩的
game,游戏，比赛
heart,心脏
golf,高尔夫
increase,增加
life,生命，人生
kilometer,千米
often,经常
plenty,大量的
weight,重量
advantage,优势
cause,导致
choice,选择
community,社区
dead,死的
distance,距离
escape,逃跑
face,面对
follow,跟随
fright,惊吓
ghost,鬼魂
individual,个人
pet,宠物
reach,到达
return,返回
survive,幸存
upset,沮丧，难过
voice,说话声，声音
weathers,天气
wise,明智的
allow,允许
announce,宣布
beside,在旁边
challenge,挑战
claim,声称
condition,状况
contribute,贡献
difference,差别
divide,分开
expert,专家
famous,著名的
force,力，暴力
harm,伤害
lay,铺设
peace,和平
prince,王子
protect,保护
sense,感知
sudden,突然
therefore,因此
accept,接受
arrange,整理
attend,参加
balances,平衡
contrast,对比
encourage,鼓励
familiar,熟悉的
grab,抓住
hang,悬挂
huge,巨大的
necessary,必要的
pattern,方式
propose,提议
purpose,目的
release,松开
require,要求
single,单个的
success,成功
tear,撕掉
theory,理论
against,逆着，顶着
beach,海滩
damage,毁坏
discover,发现
emotion,情绪
fix,修理
frank,坦白的
identify,认出，识别
island,岛
ocean,海洋
perhaps,可能
pleasant,令人愉快的
prevent,阻止
rock,岩石
save,救
step,迈步，行走
still,仍然
taste,味道
throw,扔
wave,波浪
benefit,益处
certain,确定的
chance,机会
effect,结果
essential,完全必要的
far,远
focus,集中
function,功能
grass,草
guard,保卫
image,图像
immediate,立即的
primary,主要的
proud,自豪的
remain,逗留
rest,休息
separate,分开的
site,地点
tail,尾
trouble,问题
anymore,不再
asleep,睡着的
berry,浆果
collect,收集
compete,竞争
conversation,谈话
creature,动物
decision,决定
either,[引导短语或句子，不常作主语；或用于否定句，不用作主语] 或者
forest,保卫
ground,地面
introduce,介绍
marry,结婚
prepare,准备
sail,驾驶（船只）
serious,严重的
spend,花时间做…
strange,奇怪的
truth,真相
wake,醒来
alone,独自的
apartment,公寓房间
article,文章
artist,艺术家；画家
attitude,态度
compare,比较
judge,评判；判断
magazine,杂志
material,材料
meal,一餐
method,方法
neighbor,邻居
professional,职业性的；专业的
profit,利润
quality,质量
shape,形状
space,空间
stair,楼梯
symbol,符号
thin,瘦的
blood,n.血
burn,v.燃烧
cell,n.单人牢房
contain,v.容纳
correct,adj.正确的
crop,n.庄稼
demand,v.强烈要求
equal,adj.相同的
feed,v.喂
hole,n.洞
increase,v.增加
lord,n.城主君主
owe,v.欠
position,n.姿势位置
raise,v.举起
responsible,adj.负有责任的
sight,n.景象
spot,n.地点
structure,n.建筑
whole,adj.全部的
coach,n.教练
control,v.控制
description,n.描述
direct,adj.直的；直达的
exam,n.考试
example,n.例子
limit,n.限制；极限
local,adj.邻近的
magical,adj.奇妙的；有魔力的
mail,n.邮件
novel,n.小说
outline,n.梗概；提纲
poet,n.诗人
print,v.印刷
scene,n.场景
sheet,n.一张；薄片
silly,adj.愚蠢的
store,n.商店
suffer,v.受苦
technology,n.技术
across,prep.横穿过
breathe,v.呼吸
characteristic,n.特征；特性
consume,v.吃，喝
excite,v.使…激动
extreme,adj.极度的
fear,n.害怕
fortunate,adj.幸运的
happen,v.碰巧
length,n.长度
mistake,n.错误
observe,v.观察
opportunity,n.机遇
prize,n.奖
race,n.速度竞赛
realize,v.认识到
respond,v.答复
risk,n.风险
wonder,v.想知道
