associate,v.联系
environment,n.环境
factory,n.工厂
feature,n.特点
instance,n.例子
involve,v.涉及
medicine,n.药
mix,n.混合物
organize,v.安排
period,n.一段时间
populate,v.居住于
produce,v.出产
range,n.系列
recognize,v.认出
regular,adj.定期的
sign,n.征兆
tip,n.尖端
tradition,n.传统
trash,n.垃圾
wide,adj.宽阔的
advice,n.建议
along,prep.沿着
attention,n.注意
attract,v.吸引
climb,v.攀爬
drop,v.掉下
final,adj.最后的
further,adj.更远的
imply,v.暗示
maintain,v.维持
neither,adv.都不
otherwise,adv.在其他方面
physical,adj.身体的
prove,v.证明
react,v.作出反应的
ride,v.乘
situated,adj.位于
society,n.社会
standard,n.标准
suggest,v.建议
actually,adv.事实上
bite,n.咬
coast,n.海岸
deal,n.协议
desert,n.沙漠
earthquake,n.地震
effective,adj.有效的
examine,v.检查
false,adj.错误的
gift,n.礼物
hunger,n.饥饿
imagine,v.想象
journey,n.旅行
puzzle,n.谜
quite,adv.相当
rather,adv.宁愿
specific,adj.明确的；具体的
tour,n.旅游
trip,n.旅行；去一趟
value,n.价值
